la_name,year,filled_posts,employees,vacant_posts,vacancy_rate,fte_posts,la_code
Herefordshire,2023,5000,4700,200.0,0.04124237981465477,3700.0,E06000019
Telford & Wrekin,2016,3700,3400,325.0,0.08623082500846802,2400.0,E06000020
Telford & Wrekin,2017,3900,3700,425.0,0.10423157752083358,2500.0,E06000020
Telford & Wrekin,2018,3900,3800,450.0,0.10915375421083987,2600.0,E06000020
Telford & Wrekin,2019,4100,3900,375.0,0.08840134308507473,2700.0,E06000020
Telford & Wrekin,2020,4300,4000,,,2700.0,E06000020
Telford & Wrekin,2021,4300,4100,500.0,0.10617094876983992,,E06000020
Telford & Wrekin,2022,4700,4400,600.0,0.11707832951067725,3100.0,E06000020
Telford & Wrekin,2023,4900,4600,500.0,0.09645299255468799,3200.0,E06000020
Stoke on Trent,2016,6500,6100,375.0,0.05792484401520823,5000.0,E06000021
Stoke on Trent,2017,6700,6300,400.0,0.06030027211407136,5100.0,E06000021
Stoke on Trent,2018,6900,6600,550.0,0.07465622032236803,5200.0,E06000021
Stoke on Trent,2019,7200,6800,350.0,0.04750578459774903,5500.0,E06000021
Stoke on Trent,2020,7000,6600,500.0,0.06865949842621578,5300.0,E06000021
Stoke on Trent,2021,6500,6100,750.0,0.11298573274991928,5100.0,E06000021
Stoke on Trent,2022,6800,6200,700.0,0.09800617564499824,5300.0,E06000021
Stoke on Trent,2023,6600,6000,650.0,0.09741466532112329,5200.0,E06000021
Bath and North East Somerset,2016,3300,3100,275.0,0.07980881953773737,,E06000022
Bath and North East Somerset,2017,3900,3700,325.0,0.079204872692385,,E06000022
Bath and North East Somerset,2018,3800,3700,,,,E06000022
Bath and North East Somerset,2019,3800,3500,175.0,0.04769219570789184,,E06000022
Bath and North East Somerset,2020,3700,3500,150.0,0.04144621785587444,,E06000022
Bath and North East Somerset,2021,3600,3300,425.0,0.11170284527900785,,E06000022
Bath and North East Somerset,2022,3500,3100,400.0,0.11601849339593823,,E06000022
Bath and North East Somerset,2023,3500,3200,250.0,0.0719803514532043,2500.0,E06000022
Bristol,2016,9100,8300,800.0,0.09003756885970172,,E06000023
Bristol,2017,9500,8900,1000.0,0.10062028235090274,,E06000023
Bristol,2018,9300,8900,1100.0,0.10640625432697202,,E06000023
Bristol,2019,10000,9400,1000.0,0.09634843371866439,,E06000023
Bristol,2020,10500,10000,600.0,0.05798889992263249,,E06000023
Bristol,2021,10000,9500,1200.0,0.11256435438649785,,E06000023
Bristol,2022,11000,10000,1100.0,0.09594866704949118,,E06000023
Bristol,2023,11500,10500,900.0,0.07911855648647896,8300.0,E06000023
North Somerset,2016,6400,6000,375.0,0.05984127625765116,4600.0,E06000024
North Somerset,2017,6300,5900,300.0,0.04974747088817449,4500.0,E06000024
North Somerset,2018,5600,5400,350.0,0.06060473251251587,4200.0,E06000024
North Somerset,2019,5600,5300,325.0,0.05839837098791863,4200.0,E06000024
North Somerset,2020,5800,5400,450.0,0.07910361621457158,4300.0,E06000024
North Somerset,2021,5500,5000,,,4000.0,E06000024
North Somerset,2022,5500,5000,700.0,0.12200632275270168,4100.0,E06000024
North Somerset,2023,5900,5500,450.0,0.0775908181670758,4500.0,E06000024
South Gloucestershire,2016,5700,5200,,,3800.0,E06000025
South Gloucestershire,2017,5600,5200,,,3900.0,E06000025
South Gloucestershire,2018,5800,5500,,,4000.0,E06000025
South Gloucestershire,2019,6400,6000,,,4500.0,E06000025
South Gloucestershire,2020,6800,6300,,,4800.0,E06000025
South Gloucestershire,2021,6200,5600,,,4400.0,E06000025
South Gloucestershire,2022,7000,6000,,,5000.0,E06000025
South Gloucestershire,2023,7700,6500,400.0,0.05949350833643818,5500.0,E06000025
Plymouth,2016,7000,6600,,,5100.0,E06000026
Plymouth,2017,6500,6100,,,4600.0,E06000026
Plymouth,2018,6500,6000,,,4800.0,E06000026
Plymouth,2019,6700,6100,,,5000.0,E06000026
Plymouth,2020,7000,6300,,,5300.0,E06000026
Plymouth,2021,6600,6000,,,5100.0,E06000026
Plymouth,2022,6600,6200,,,5000.0,E06000026
Plymouth,2023,7100,6600,150.0,0.02304828101988385,5500.0,E06000026
Torbay,2016,4900,4600,200.0,0.04245257591934692,3400.0,E06000027
Torbay,2017,4800,4500,150.0,0.03482819278677451,3400.0,E06000027
Torbay,2018,4800,4500,225.0,0.04576582235499904,3300.0,E06000027
Torbay,2019,4800,4500,225.0,0.0466490623402166,3300.0,E06000027
Torbay,2020,4900,4600,275.0,0.05448153289899004,3400.0,E06000027
Torbay,2021,4600,4300,350.0,0.07365775743814312,3400.0,E06000027
Torbay,2022,4500,4200,275.0,0.06256019248931878,3300.0,E06000027
Torbay,2023,4600,4300,200.0,0.04690216291954954,3400.0,E06000027
Swindon,2016,3800,3300,325.0,0.0904858513025873,2600.0,E06000030
Swindon,2017,4100,3600,325.0,0.08151757671005667,2800.0,E06000030
Swindon,2018,3900,3400,350.0,0.09157181963081262,2600.0,E06000030
Swindon,2019,4000,3500,,,2600.0,E06000030
Swindon,2020,3800,3400,275.0,0.07537163152495904,2600.0,E06000030
Swindon,2021,3600,3400,425.0,0.11046561222411069,2600.0,E06000030
Swindon,2022,3900,3600,450.0,0.10890553280836139,2900.0,E06000030
Swindon,2023,3800,3500,425.0,0.1096226338010231,2900.0,E06000030
Peterborough,2016,5000,4700,,,3400.0,E06000031
Peterborough,2017,5100,4600,,,3600.0,E06000031
Peterborough,2018,5700,5300,,,4100.0,E06000031
Peterborough,2019,5200,4800,,,,E06000031
Peterborough,2020,5500,5200,,,4100.0,E06000031
Peterborough,2021,5500,5100,,,3800.0,E06000031
Peterborough,2022,6000,5500,,,4200.0,E06000031
Peterborough,2023,6900,6200,400.0,0.0610798425800821,5400.0,E06000031
Luton,2016,3900,3600,,,2600.0,E06000032
Luton,2017,4100,3800,,,2700.0,E06000032
Luton,2018,3900,3600,425.0,0.10645206367828512,2600.0,E06000032
Luton,2019,4100,3800,,,2600.0,E06000032
Luton,2020,4100,3900,,,2500.0,E06000032
Luton,2021,3700,3500,425.0,0.10909678113158869,2300.0,E06000032
Luton,2022,3700,3300,550.0,0.14287161377625193,2500.0,E06000032
Luton,2023,4000,3700,475.0,0.11267390177108753,2900.0,E06000032
Southend on Sea,2016,5300,4900,350.0,0.06825202215641477,3600.0,E06000033
Southend on Sea,2017,5300,4900,325.0,0.06096015740273533,3700.0,E06000033
Southend on Sea,2018,5500,5100,450.0,0.08157610669180863,3700.0,E06000033
Southend on Sea,2019,5300,4900,425.0,0.08105734312716961,3700.0,E06000033
Southend on Sea,2020,5400,4800,500.0,0.09803169237909663,3700.0,E06000033
Southend on Sea,2021,5000,4500,650.0,0.12560458153302667,3400.0,E06000033
Southend on Sea,2022,5100,4500,475.0,0.0964127314794814,3500.0,E06000033
Southend on Sea,2023,5200,4700,500.0,0.09539213622879822,3700.0,E06000033
Thurrock,2016,2300,1700,,,1500.0,E06000034
Thurrock,2017,2300,1800,,,1500.0,E06000034
Thurrock,2018,2700,2100,100.0,0.0497488716250889,1800.0,E06000034
Thurrock,2019,2800,2400,150.0,0.05483259743955848,,E06000034
Thurrock,2020,3000,2500,225.0,0.07871156917565635,1700.0,E06000034
Thurrock,2021,2600,2100,,,1600.0,E06000034
Thurrock,2022,2600,2200,275.0,0.11653237528725768,1700.0,E06000034
Thurrock,2023,2900,2500,275.0,0.09822870074107429,2000.0,E06000034
Medway,2016,5100,4900,,,3400.0,E06000035
Medway,2017,5600,5400,,,3700.0,E06000035
Medway,2018,5700,5400,,,,E06000035
Medway,2019,5700,5300,,,3700.0,E06000035
Medway,2020,5700,5300,,,3900.0,E06000035
Medway,2021,5500,5100,,,3900.0,E06000035
Medway,2022,5600,5100,,,4000.0,E06000035
Medway,2023,6200,5500,350.0,0.06106026738092833,4600.0,E06000035
Bracknell Forest,2016,1600,1500,,,1100.0,E06000036
Bracknell Forest,2017,1900,1800,,,1400.0,E06000036
Bracknell Forest,2018,1800,1700,,,1300.0,E06000036
Bracknell Forest,2019,1800,1700,,,1400.0,E06000036
Bracknell Forest,2020,1800,1600,,,,E06000036
Bracknell Forest,2021,1700,1600,,,1300.0,E06000036
Bracknell Forest,2022,1700,1600,,,1300.0,E06000036
Bracknell Forest,2023,1900,1600,275.0,0.14825306764990287,1400.0,E06000036
West Berkshire,2016,2600,2500,,,2000.0,E06000037
West Berkshire,2017,2500,2400,,,1900.0,E06000037
West Berkshire,2018,2500,2400,,,1900.0,E06000037
West Berkshire,2019,2500,2300,,,1900.0,E06000037
West Berkshire,2020,2700,2400,,,2100.0,E06000037
West Berkshire,2021,2600,2300,,,2000.0,E06000037
West Berkshire,2022,2500,2200,,,1900.0,E06000037
West Berkshire,2023,2700,2400,500.0,0.1798020338098257,2200.0,E06000037
Reading,2016,3200,2800,,,,E06000038
Reading,2017,3200,2700,,,,E06000038
Reading,2018,3300,2900,,,,E06000038
Reading,2019,3300,2700,,,,E06000038
Reading,2020,3300,2500,,,,E06000038
Reading,2021,3300,2700,,,,E06000038
Reading,2022,3700,2900,,,,E06000038
Reading,2023,3800,3300,250.0,0.07160350798440775,3000.0,E06000038
Slough,2016,2000,1900,,,1400.0,E06000039
Slough,2017,2100,2000,,,,E06000039
Slough,2018,2100,2000,275.0,0.12339368035666246,1500.0,E06000039
Slough,2019,2400,2200,275.0,0.10784429483089421,1800.0,E06000039
